2026-04-16 03:14:13,950 STEP: op=8,0,0,0 executed_steps=17 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:13,950 STEP: op=8,0,0,0 executed_steps=17 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:13,950 STEP: op=8,0,0,0 executed_steps=17 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:13,991 STEP: op=10,0,5,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:14,320 STEP: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:14,348 STEP: op=19,0,1,1 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:14,629 STEP: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:15,072 STEP: op=8,0,0,0 executed_steps=5 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:15,072 STEP: op=8,0,0,0 executed_steps=5 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:15,072 STEP: op=8,0,0,0 executed_steps=5 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:15,072 STEP: op=8,0,0,0 executed_steps=5 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:15,072 STEP: op=8,0,0,0 executed_steps=5 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,978 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,978 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,978 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,978 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,978 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,978 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,978 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:16,979 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:17,018 STEP: op=10,3,6,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'spin'}
2026-04-16 03:14:17,060 STEP: op=23,2,1,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'spin', 2: 'dead'}
2026-04-16 03:14:17,089 STEP: op=22,1,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 03:14:17,117 STEP: op=19,1,1,2 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 03:14:17,380 STEP: op=6,0,0,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 03:14:17,408 STEP: op=12,6,7783,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 03:14:17,438 STEP: op=18,2,0,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:18,881 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:18,881 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:18,881 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:18,881 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:18,881 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:18,881 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:18,881 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:19,204 STEP: op=7,0,4,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:19,543 STEP: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:19,581 STEP: op=16,6,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:19,609 STEP: op=12,5,1912,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:19,677 STEP: op=17,4,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:19,716 STEP: op=10,1,6,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:19,745 STEP: op=13,5,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'blocked', 2: 'created'}
2026-04-16 03:14:20,971 EXIT status: work_conserving_broken=False cfs_util_decay_broken=False rt_util_decay_broken=False
