2026-04-16 17:57:51,601 MUTATE-GEN: op=6,4,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu', 3: 'on_cpu', 4: 'runnable', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,866 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,866 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,867 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,868 MUTATE-GEN: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:58,918 MUTATE-GEN: op=10,-1,2,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:57:59,878 MUTATE-GEN: op=2,0,4,4 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:58:00,092 MUTATE-GEN: op=7,4,14,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'on_cpu', 5: 'on_cpu'} kthread_state={}
2026-04-16 17:58:01,373 EXIT status: work_conserving_broken=True cfs_util_decay_broken=False rt_util_decay_broken=False
