2026-04-16 08:11:18,317 REPLAY: op=10,-1,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 08:11:18,382 REPLAY: op=0,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={}
2026-04-16 08:11:37,010 MUTATE-GEN: op=2,0,2,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:37,254 MUTATE-GEN: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:37,303 MUTATE-GEN: op=20,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:38,083 MUTATE-GEN: op=5,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:38,138 MUTATE-GEN: op=11,4,1,2 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,106 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,106 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,107 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,927 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,928 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,928 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,928 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:44,928 MUTATE-GEN: op=8,0,0,0 executed_steps=12 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:45,453 MUTATE-GEN: op=5,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,618 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,619 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,619 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,619 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,619 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,619 MUTATE-GEN: op=8,0,0,0 executed_steps=14 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:48,680 MUTATE-GEN: op=23,0,1,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'dead', 1: 'spin'}
2026-04-16 08:11:48,715 MUTATE-GEN: op=22,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={1: 'blocked'}
2026-04-16 08:11:48,750 MUTATE-GEN: op=18,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={1: 'blocked', 0: 'created'}
2026-04-16 08:11:48,802 MUTATE-GEN: op=20,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={1: 'blocked', 0: 'spin'}
2026-04-16 08:11:49,163 MUTATE-GEN: op=6,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={1: 'blocked', 0: 'spin'}
2026-04-16 08:11:49,610 MUTATE-GEN: op=5,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={1: 'blocked', 0: 'spin'}
2026-04-16 08:11:50,986 EXIT status: work_conserving_broken=False cfs_util_decay_broken=False rt_util_decay_broken=False
