2026-04-16 10:57:09,704 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,704 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,704 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,704 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,704 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,704 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,704 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,705 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,705 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,705 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,705 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:09,705 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:10,681 STEP: op=6,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin'}
2026-04-16 10:57:11,080 STEP: op=6,2,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:11,748 STEP: op=7,0,7,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:12,436 STEP: op=2,0,2,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:12,917 STEP: op=6,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:12,962 STEP: op=13,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,732 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,732 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
