2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,233 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,233 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,233 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,233 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,302 STEP: op=13,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,096 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,096 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,096 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,096 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,096 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,096 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,097 STEP: op=8,0,0,0 executed_steps=15 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,132 STEP: op=13,0,2,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,365 STEP: op=7,1,6,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:00,633 STEP: op=8,0,0,0 executed_steps=2 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,633 STEP: op=8,0,0,0 executed_steps=2 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:00,965 STEP: op=8,0,0,0 executed_steps=2 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'runnable'} kthread_state={}
